City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Ribeira Grande,PT,2021-02-14 03:38:51,38.5167,-28.7,57.47,68,88,30.0
282,Kunming,CN,2021-02-14 03:42:59,25.0389,102.7183,59.0,71,40,11.18
283,Guerrero Negro,MX,2021-02-14 03:42:59,27.9769,-114.0611,58.69,74,97,16.96
284,Bathsheba,BB,2021-02-14 03:42:59,13.2167,-59.5167,78.8,69,40,21.85
285,Yumen,CN,2021-02-14 03:42:59,40.2833,97.2,32.74,79,0,13.53
286,Lebu,CL,2021-02-14 03:38:55,-37.6167,-73.65,56.66,81,0,15.14
287,Olafsvik,IS,2021-02-14 03:43:00,64.8945,-23.7142,39.07,74,100,23.29
288,Kavaratti,IN,2021-02-14 03:43:00,10.5669,72.642,81.07,60,95,6.49
289,Pochutla,MX,2021-02-14 03:43:00,15.7432,-96.4661,69.06,81,0,4.85
290,Celestun,MX,2021-02-14 03:43:00,20.8667,-90.4,73.15,87,0,4.9
291,Coquimbo,CL,2021-02-14 03:43:00,-29.9533,-71.3436,62.6,88,0,1.07
292,Geraldton,AU,2021-02-14 03:43:00,-28.7667,114.6,93.2,22,58,9.22
293,Sorland,NO,2021-02-14 03:43:01,67.667,12.6934,30.54,91,100,7.83
